"id","name","code","slug","state_id:id","country_id","type"
"res_district_001","Quận Ba Đình","VN-01-001","Quận Ba Đình, Thành phố Hà Nội","base.state_vn_VN-HN","VN",0
"res_district_002","Quận Hoàn Kiếm","VN-01-002","Quận Hoàn Kiếm, Thành phố Hà Nội","base.state_vn_VN-HN","VN",0
"res_district_003","Quận Tây Hồ","VN-01-003","Quận Tây Hồ, Thành phố Hà Nội","base.state_vn_VN-HN","VN",0
"res_district_004","Quận Long Biên","VN-01-004","Quận Long Biên, Thành phố Hà Nội","base.state_vn_VN-HN","VN",0
"res_district_005","Quận Cầu Giấy","VN-01-005","Quận Cầu Giấy, Thành phố Hà Nội","base.state_vn_VN-HN","VN",0
"res_district_006","Quận Đống Đa","VN-01-006","Quận Đống Đa, Thành phố Hà Nội","base.state_vn_VN-HN","VN",0
"res_district_007","Quận Hai Bà Trưng","VN-01-007","Quận Hai Bà Trưng, Thành phố Hà Nội","base.state_vn_VN-HN","VN",0
"res_district_008","Quận Hoàng Mai","VN-01-008","Quận Hoàng Mai, Thành phố Hà Nội","base.state_vn_VN-HN","VN",0
"res_district_009","Quận Thanh Xuân","VN-01-009","Quận Thanh Xuân, Thành phố Hà Nội","base.state_vn_VN-HN","VN",0
"res_district_016","Huyện Sóc Sơn","VN-01-016","Huyện Sóc Sơn, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_017","Huyện Đông Anh","VN-01-017","Huyện Đông Anh, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_018","Huyện Gia Lâm","VN-01-018","Huyện Gia Lâm, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_019","Quận Nam Từ Liêm","VN-01-019","Quận Nam Từ Liêm, Thành phố Hà Nội","base.state_vn_VN-HN","VN",0
"res_district_020","Huyện Thanh Trì","VN-01-020","Huyện Thanh Trì, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_021","Quận Bắc Từ Liêm","VN-01-021","Quận Bắc Từ Liêm, Thành phố Hà Nội","base.state_vn_VN-HN","VN",0
"res_district_250","Huyện Mê Linh","VN-01-250","Huyện Mê Linh, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_268","Quận Hà Đông","VN-01-268","Quận Hà Đông, Thành phố Hà Nội","base.state_vn_VN-HN","VN",0
"res_district_269","Thị xã Sơn Tây","VN-01-269","Thị xã Sơn Tây, Thành phố Hà Nội","base.state_vn_VN-HN","VN",2
"res_district_271","Huyện Ba Vì","VN-01-271","Huyện Ba Vì, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_272","Huyện Phúc Thọ","VN-01-272","Huyện Phúc Thọ, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_273","Huyện Đan Phượng","VN-01-273","Huyện Đan Phượng, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_274","Huyện Hoài Đức","VN-01-274","Huyện Hoài Đức, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_275","Huyện Quốc Oai","VN-01-275","Huyện Quốc Oai, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_276","Huyện Thạch Thất","VN-01-276","Huyện Thạch Thất, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_277","Huyện Chương Mỹ","VN-01-277","Huyện Chương Mỹ, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_278","Huyện Thanh Oai","VN-01-278","Huyện Thanh Oai, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_279","Huyện Thường Tín","VN-01-279","Huyện Thường Tín, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_280","Huyện Phú Xuyên","VN-01-280","Huyện Phú Xuyên, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_281","Huyện Ứng Hòa","VN-01-281","Huyện Ứng Hòa, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_282","Huyện Mỹ Đức","VN-01-282","Huyện Mỹ Đức, Thành phố Hà Nội","base.state_vn_VN-HN","VN",1
"res_district_024","Thành phố Hà Giang","VN-02-024","Thành phố Hà Giang, Tỉnh Hà Giang","base.state_vn_VN-03","VN",3
"res_district_026","Huyện Đồng Văn","VN-02-026","Huyện Đồng Văn, Tỉnh Hà Giang","base.state_vn_VN-03","VN",1
"res_district_027","Huyện Mèo Vạc","VN-02-027","Huyện Mèo Vạc, Tỉnh Hà Giang","base.state_vn_VN-03","VN",1
"res_district_028","Huyện Yên Minh","VN-02-028","Huyện Yên Minh, Tỉnh Hà Giang","base.state_vn_VN-03","VN",1
"res_district_029","Huyện Quản Bạ","VN-02-029","Huyện Quản Bạ, Tỉnh Hà Giang","base.state_vn_VN-03","VN",1
"res_district_030","Huyện Vị Xuyên","VN-02-030","Huyện Vị Xuyên, Tỉnh Hà Giang","base.state_vn_VN-03","VN",1
"res_district_031","Huyện Bắc Mê","VN-02-031","Huyện Bắc Mê, Tỉnh Hà Giang","base.state_vn_VN-03","VN",1
"res_district_032","Huyện Hoàng Su Phì","VN-02-032","Huyện Hoàng Su Phì, Tỉnh Hà Giang","base.state_vn_VN-03","VN",1
