"id","name","code","slug","slug2","district_id:id","state_id:id","country_id","type"
"res_ward_1","Phường Phúc Xá","VN-01-001-00001","Phường Phúc Xá, Quận Ba Đình, Thành phố Hà Nội","Phường Phúc Xá, Quận Ba Đình","res_district_001","base.state_vn_VN-HN","VN",0
"res_ward_2","Phường Trúc Bạch","VN-01-001-00004","Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội","Phường Trúc Bạch, Quận Ba Đình","res_district_001","base.state_vn_VN-HN","VN",0
"res_ward_3","Phường Vĩnh Phúc","VN-01-001-00006","Phường Vĩnh Phúc, Quận Ba Đình, Thành phố Hà Nội","Phường Vĩnh Phúc, Quận Ba Đình","res_district_001","base.state_vn_VN-HN","VN",0
"res_ward_4","Phường Cống Vị","VN-01-001-00007","Phường Cống Vị, Quận Ba Đình, Thành phố Hà Nội","Phường Cống Vị, Quận Ba Đình","res_district_001","base.state_vn_VN-HN","VN",0
"res_ward_5","Phường Liễu Giai","VN-01-001-00008","Phường Liễu Giai, Quận Ba Đình, Thành phố Hà Nội","Phường Liễu Giai, Quận Ba Đình","res_district_001","base.state_vn_VN-HN","VN",0
"res_ward_6","Phường Nguyễn Trung Trực","VN-01-001-00010","Phường Nguyễn Trung Trực, Quận Ba Đình, Thành phố Hà Nội","Phường Nguyễn Trung Trực, Quận Ba Đình","res_district_001","base.state_vn_VN-HN","VN",0
"res_ward_7","Phường Quán Thánh","VN-01-001-00013","Phường Quán Thánh, Quận Ba Đình, Thành phố Hà Nội","Phường Quán Thánh, Quận Ba Đình","res_district_001","base.state_vn_VN-HN","VN",0
"res_ward_8","Phường Ngọc Hà","VN-01-001-00016","Phường Ngọc Hà, Quận Ba Đình, Thành phố Hà Nội","Phường Ngọc Hà, Quận Ba Đình","res_district_001","base.state_vn_VN-HN","VN",0
"res_ward_9","Phường Điện Biên","VN-01-001-00019","Phường Điện Biên, Quận Ba Đình, Thành phố Hà Nội","Phường Điện Biên, Quận Ba Đình","res_district_001","base.state_vn_VN-HN","VN",0
"res_ward_10","Phường Đội Cấn","VN-01-001-00022","Phường Đội Cấn, Quận Ba Đình, Thành phố Hà Nội","Phường Đội Cấn, Quận Ba Đình","res_district_001","base.state_vn_VN-HN","VN",0
