"id","full_name","name","bic","short_name","logo_url","transfer_supported","lookup_supported","short_name","swift_code","active","country"
"res_bank_1","Ngân hàng TMCP An Bình","ABB","970425","ABBANK","ABB.png","1","1","ABBANK","ABBKVNVX","TRUE","VN"
"res_bank_10","Ngân hàng TMCP Xuất Nhập khẩu Việt Nam","EIB","970431","Eximbank","EIB.png","1","1","Eximbank","EBVIVNVX","TRUE","VN"
"res_bank_11","Ngân hàng Thương mại TNHH MTV Dầu Khí Toàn Cầu","GPB","970408","GPBank","GPB.png","0","1","GPBank","GBNKVNVX","TRUE","VN"
"res_bank_12","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh","HDB","970437","HDBank","HDB.png","1","1","HDBank","HDBCVNVX","TRUE","VN"
"res_bank_13","Ngân hàng TNHH MTV Hong Leong Việt Nam","HLBVN","970442","HongLeong","HLBVN.png","0","0","HongLeong","HLBBVNVX","TRUE","VN"
"res_bank_14","Ngân hàng TNHH Indovina","IVB","970434","IndovinaBank","IVB.png","0","1","IndovinaBank","","TRUE","VN"
"res_bank_15","Ngân hàng TMCP Kiên Long","KLB","970452","KienLongBank","KLB.png","1","1","KienLongBank","KLBKVNVX","TRUE","VN"
"res_bank_16","Ngân hàng TMCP Bưu Điện Liên Việt","LPB","970449","LienVietPostBank","LPB.png","1","1","LienVietPostBank","LVBKVNVX","TRUE","VN"
"res_bank_17","Ngân hàng TMCP Quân đội","MB","970422","MBBank","MB.png","1","1","MBBank","MSCBVNVX","TRUE","VN"
"res_bank_18","Ngân hàng TMCP Hàng Hải","MSB","970426","MSB","MSB.png","1","1","MSB","MCOBVNVX","TRUE","VN"
"res_bank_19","Ngân hàng TMCP Nam Á","NAB","970428","NamABank","NAB.png","1","1","NamABank","NAMAVNVX","TRUE","VN"
"res_bank_2","Ngân hàng TMCP Á Châu","ACB","970416","ACB","ACB.png","1","1","ACB","ASCBVNVX","TRUE","VN"
"res_bank_20","Ngân hàng TMCP Quốc Dân","NCB","970419","NCB","NCB.png","1","1","NCB","NVBAVNVX","TRUE","VN"
